#date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Jun 07",2458641.7536,"i", 99.0, 99.0,99.0, 19.46,"P48+ZTF","2","None","None",True,True
"2019 Jun 07",2458641.7554,"i", 99.0, 99.0,99.0, 19.74,"P48+ZTF","2","None","None",True,True
"2019 Jun 08",2458642.6914,"g", 99.0, 99.0,99.0, 20.68,"P48+ZTF","1","None","None",True,True
"2019 Jun 08",2458642.7544,"r", 99.0, 99.0,99.0, 20.60,"P48+ZTF","1","None","None",True,True
"2019 Jun 09",2458643.6938,"g", 99.0, 99.0,99.0, 20.15,"P48+ZTF","1","None","None",True,True
"2019 Jun 09",2458643.7347,"r", 99.0, 99.0,99.0, 20.30,"P48+ZTF","1","None","None",True,True
"2019 Jun 11",2458645.7333,"g", 99.0, 99.0,99.0, 19.81,"P48+ZTF","1","None","None",True,True
"2019 Jun 11",2458645.7670,"i", 99.0, 99.0,99.0, 19.38,"P48+ZTF","2","None","None",True,True
"2019 Jun 11",2458645.7688,"i", 99.0, 99.0,99.0, 19.29,"P48+ZTF","2","None","None",True,True
"2019 Jun 11",2458645.7755,"r", 99.0, 99.0,99.0, 19.65,"P48+ZTF","1","None","None",True,True
"2019 Jun 14",2458648.6905,"r", 99.0, 99.0,99.0, 19.33,"P48+ZTF","1","None","None",True,True
"2019 Jun 14",2458648.7102,"r", 99.0, 99.0,99.0, 18.95,"P48+ZTF","1","None","None",True,True
"2019 Jun 15",2458649.8250,"i", 99.0, 99.0,99.0, 18.85,"P48+ZTF","2","None","None",True,True
"2019 Jun 15",2458649.8281,"i", 99.0, 99.0,99.0, 18.69,"P48+ZTF","2","None","None",True,True
"2019 Jun 17",2458651.6910,"g", 99.0, 99.0,99.0, 19.32,"P48+ZTF","1","None","None",True,True
"2019 Jun 17",2458651.6924,"g", 99.0, 99.0,99.0, 19.26,"P48+ZTF","1","None","None",True,True
