MJD,MAG,MAGERR,FLT,Vega
55739.248,13.09,0.022,vs,1.0
55740.246,13.137,0.023,vs,1.0
55741.255,13.278,0.028,vs,1.0
55743.245,13.42,0.023,vs,1.0
55744.246,13.463,0.023,vs,1.0
55745.244,13.52,0.023,vs,1.0
55746.243,13.597,0.023,vs,1.0
55747.244,13.707,0.023,vs,1.0
55748.241,13.76,0.024,vs,1.0
55749.243,13.803,0.024,vs,1.0
55750.254,13.83,0.024,vs,1.0
55714.276,13.677,0.026,R,0.0
55714.28,13.667,0.027,R,0.0
55716.365,14.604,0.007,R,0.0
55717.339,14.359,0.006,R,0.0
55718.314,14.044,0.009,R,0.0
55719.263,13.744,0.013,R,0.0
55720.352,13.486,0.006,R,0.0
55721.344,13.271,0.007,R,0.0
55722.331,13.09,0.007,R,0.0
55723.337,12.954,0.005,R,0.0
55726.287,12.652,0.018,R,0.0
55727.348,12.592,0.005,R,0.0
55728.279,12.532,0.013,R,0.0
55730.249,12.44,0.015,R,0.0
55731.275,12.372,0.018,R,0.0
55737.277,12.392,0.018,R,0.0
